task_id,operator_id,machine_id,task_type,location,priority,weather,nominal_duration_min,scheduled_time,actual_start,actual_end,actual_duration
TSK-168,OP1001,CAT-336-EX01,Foundation Trenching,Zone B - West Sector,High,Muddy/Wet,70.0,2026-09-20T10:04:00Z,2026-09-20T10:04:00Z,2026-09-20T11:31:00Z,87.7
TSK-169,OP1002,CAT-950-LD02,Haul Truck Loading,Pit 2 Haul Ramp,Medium,Sunny,45.0,2026-09-20T07:01:00Z,2026-09-20T07:01:00Z,2026-09-20T07:40:00Z,39.7
TSK-170,OP1002,CAT-950-LD02,Stormwater Drainage Pipe Laying,North Perimeter Road,High,Rain,95.0,2026-09-20T10:03:00Z,2026-09-20T10:03:00Z,2026-09-20T11:51:00Z,108.8
TSK-171,OP1002,CAT-950-LD02,Stormwater Drainage Pipe Laying,North Perimeter Road,High,High Wind,95.0,2026-09-20T13:04:00Z,2026-09-20T13:04:00Z,2026-09-20T14:47:00Z,103.0
TSK-172,OP1003,CAT-336-EX01,Haul Truck Loading,Pit 2 Haul Ramp,Medium,Rain,45.0,2026-09-20T07:00:00Z,2026-09-20T07:00:00Z,2026-09-20T08:13:00Z,73.0
TSK-173,OP1003,CAT-336-EX01,Haul Truck Loading,Pit 2 Haul Ramp,Medium,Muddy/Wet,45.0,2026-09-20T10:13:00Z,2026-09-20T10:13:00Z,2026-09-20T11:32:00Z,79.8
TSK-174,OP1004,CAT-349-EX03,Stockpile Material Rehandling,Crusher Feed Point A,Low,Rain,50.0,2026-09-20T07:03:00Z,2026-09-20T07:03:00Z,2026-09-20T08:00:00Z,57.9
TSK-175,OP1004,CAT-349-EX03,Overburden Stripping,East Expansion Ridge,High,Sunny,110.0,2026-09-20T10:07:00Z,2026-09-20T10:07:00Z,2026-09-20T11:49:00Z,102.6
TSK-176,OP1005,CAT-777-HT05,Culvert Trench Backfilling,Section 4 Access Road,Medium,Muddy/Wet,60.0,2026-09-20T07:07:00Z,2026-09-20T07:07:00Z,2026-09-20T08:29:00Z,82.8
TSK-177,OP1005,CAT-777-HT05,Slope Grading & Compaction,South Retention Pond,Critical,Sunny,85.0,2026-09-20T10:12:00Z,2026-09-20T10:12:00Z,2026-09-20T11:40:00Z,88.1
TSK-178,OP1001,CAT-336-EX01,Stockpile Material Rehandling,Crusher Feed Point A,Low,Sunny,50.0,2026-09-21T07:08:00Z,2026-09-21T07:08:00Z,2026-09-21T07:55:00Z,47.1
TSK-179,OP1001,CAT-336-EX01,Stormwater Drainage Pipe Laying,North Perimeter Road,High,High Wind,95.0,2026-09-21T10:10:00Z,2026-09-21T10:10:00Z,2026-09-21T11:50:00Z,100.1
TSK-180,OP1001,CAT-336-EX01,Foundation Trenching,Zone B - West Sector,High,Sunny,70.0,2026-09-21T13:08:00Z,2026-09-21T13:08:00Z,2026-09-21T14:13:00Z,65.4
TSK-181,OP1002,CAT-950-LD02,Stockpile Material Rehandling,Crusher Feed Point A,Low,Sunny,50.0,2026-09-21T07:13:00Z,2026-09-21T07:13:00Z,2026-09-21T07:56:00Z,43.2
TSK-182,OP1002,CAT-950-LD02,Stormwater Drainage Pipe Laying,North Perimeter Road,High,Muddy/Wet,95.0,2026-09-21T10:03:00Z,2026-09-21T10:03:00Z,2026-09-21T12:00:00Z,117.2
TSK-183,OP1003,CAT-336-EX01,Slope Grading & Compaction,South Retention Pond,Critical,Muddy/Wet,85.0,2026-09-21T07:13:00Z,2026-09-21T07:13:00Z,2026-09-21T09:32:00Z,139.9
TSK-184,OP1003,CAT-336-EX01,Foundation Trenching,Zone B - West Sector,High,Rain,70.0,2026-09-21T10:02:00Z,2026-09-21T10:02:00Z,2026-09-21T11:49:00Z,107.9
TSK-185,OP1003,CAT-336-EX01,Stormwater Drainage Pipe Laying,North Perimeter Road,High,Muddy/Wet,95.0,2026-09-21T13:03:00Z,2026-09-21T13:03:00Z,2026-09-21T15:49:00Z,166.6
TSK-186,OP1004,CAT-349-EX03,Stockpile Material Rehandling,Crusher Feed Point A,Low,High Wind,50.0,2026-09-21T07:09:00Z,2026-09-21T07:09:00Z,2026-09-21T07:59:00Z,50.9
TSK-187,OP1004,CAT-349-EX03,Haul Truck Loading,Pit 2 Haul Ramp,Medium,Rain,45.0,2026-09-21T10:12:00Z,2026-09-21T10:12:00Z,2026-09-21T11:02:00Z,50.2
TSK-188,OP1004,CAT-349-EX03,Haul Truck Loading,Pit 2 Haul Ramp,Medium,Muddy/Wet,45.0,2026-09-21T13:00:00Z,2026-09-21T13:00:00Z,2026-09-21T13:55:00Z,55.4
TSK-189,OP1005,CAT-777-HT05,Stockpile Material Rehandling,Crusher Feed Point A,Low,Rain,50.0,2026-09-21T07:10:00Z,2026-09-21T07:10:00Z,2026-09-21T08:13:00Z,63.3
TSK-190,OP1005,CAT-777-HT05,Culvert Trench Backfilling,Section 4 Access Road,Medium,High Wind,60.0,2026-09-21T10:06:00Z,2026-09-21T10:06:00Z,2026-09-21T11:16:00Z,70.0
TSK-191,OP1005,CAT-777-HT05,Culvert Trench Backfilling,Section 4 Access Road,Medium,Rain,60.0,2026-09-21T13:09:00Z,2026-09-21T13:09:00Z,2026-09-21T14:26:00Z,77.7
TSK-192,OP1001,CAT-336-EX01,Mass Quarry Excavation,Pit 3 - Deep Bench,Critical,Rain,120.0,2026-09-22T07:07:00Z,2026-09-22T07:07:00Z,2026-09-22T09:24:00Z,137.3
TSK-193,OP1001,CAT-336-EX01,Slope Grading & Compaction,South Retention Pond,Critical,Rain,85.0,2026-09-22T10:07:00Z,2026-09-22T10:07:00Z,2026-09-22T11:38:00Z,91.1
TSK-194,OP1001,CAT-336-EX01,Culvert Trench Backfilling,Section 4 Access Road,Medium,Sunny,60.0,2026-09-22T13:06:00Z,2026-09-22T13:06:00Z,2026-09-22T13:59:00Z,53.8
TSK-195,OP1002,CAT-950-LD02,Culvert Trench Backfilling,Section 4 Access Road,Medium,High Wind,60.0,2026-09-22T07:00:00Z,2026-09-22T07:00:00Z,2026-09-22T08:00:00Z,60.5
TSK-196,OP1002,CAT-950-LD02,Mass Quarry Excavation,Pit 3 - Deep Bench,Critical,High Wind,120.0,2026-09-22T10:14:00Z,2026-09-22T10:14:00Z,2026-09-22T12:14:00Z,120.7
TSK-197,OP1002,CAT-950-LD02,Foundation Trenching,Zone B - West Sector,High,Rain,70.0,2026-09-22T13:03:00Z,2026-09-22T13:03:00Z,2026-09-22T14:25:00Z,82.0
TSK-198,OP1003,CAT-336-EX01,Haul Truck Loading,Pit 2 Haul Ramp,Medium,High Wind,45.0,2026-09-22T07:10:00Z,2026-09-22T07:10:00Z,2026-09-22T08:15:00Z,65.8
TSK-199,OP1003,CAT-336-EX01,Culvert Trench Backfilling,Section 4 Access Road,Medium,High Wind,60.0,2026-09-22T10:14:00Z,2026-09-22T10:14:00Z,2026-09-22T11:43:00Z,89.1
TSK-200,OP1003,CAT-336-EX01,Haul Truck Loading,Pit 2 Haul Ramp,Medium,High Wind,45.0,2026-09-22T13:07:00Z,2026-09-22T13:07:00Z,2026-09-22T14:11:00Z,64.4
TSK-201,OP1004,CAT-349-EX03,Culvert Trench Backfilling,Section 4 Access Road,Medium,Rain,60.0,2026-09-22T07:02:00Z,2026-09-22T07:02:00Z,2026-09-22T08:08:00Z,66.0
TSK-202,OP1004,CAT-349-EX03,Stockpile Material Rehandling,Crusher Feed Point A,Low,Rain,50.0,2026-09-22T10:10:00Z,2026-09-22T10:10:00Z,2026-09-22T11:05:00Z,55.0
TSK-203,OP1004,CAT-349-EX03,Mass Quarry Excavation,Pit 3 - Deep Bench,Critical,Rain,120.0,2026-09-22T13:12:00Z,2026-09-22T13:12:00Z,2026-09-22T15:22:00Z,130.3
TSK-204,OP1005,CAT-777-HT05,Slope Grading & Compaction,South Retention Pond,Critical,Sunny,85.0,2026-09-22T07:10:00Z,2026-09-22T07:10:00Z,2026-09-22T08:36:00Z,86.0
TSK-205,OP1005,CAT-777-HT05,Culvert Trench Backfilling,Section 4 Access Road,Medium,High Wind,60.0,2026-09-22T10:13:00Z,2026-09-22T10:13:00Z,2026-09-22T11:20:00Z,67.3
TSK-206,OP1001,CAT-336-EX01,Foundation Trenching,Zone B - West Sector,High,High Wind,70.0,2026-09-23T07:11:00Z,2026-09-23T07:11:00Z,2026-09-23T08:23:00Z,72.3
TSK-207,OP1001,CAT-336-EX01,Stockpile Material Rehandling,Crusher Feed Point A,Low,High Wind,50.0,2026-09-23T10:13:00Z,2026-09-23T10:13:00Z,2026-09-23T11:06:00Z,53.6
TSK-208,OP1001,CAT-336-EX01,Slope Grading & Compaction,South Retention Pond,Critical,High Wind,85.0,2026-09-23T13:13:00Z,2026-09-23T13:13:00Z,2026-09-23T14:38:00Z,85.5
TSK-209,OP1002,CAT-950-LD02,Foundation Trenching,Zone B - West Sector,High,High Wind,70.0,2026-09-23T07:12:00Z,2026-09-23T07:12:00Z,2026-09-23T08:23:00Z,71.3
TSK-210,OP1002,CAT-950-LD02,Haul Truck Loading,Pit 2 Haul Ramp,Medium,High Wind,45.0,2026-09-23T10:00:00Z,2026-09-23T10:00:00Z,2026-09-23T10:48:00Z,48.5
TSK-211,OP1002,CAT-950-LD02,Overburden Stripping,East Expansion Ridge,High,Sunny,110.0,2026-09-23T13:13:00Z,2026-09-23T13:13:00Z,2026-09-23T14:47:00Z,94.9
TSK-212,OP1003,CAT-336-EX01,Culvert Trench Backfilling,Section 4 Access Road,Medium,Rain,60.0,2026-09-23T07:12:00Z,2026-09-23T07:12:00Z,2026-09-23T08:41:00Z,89.5
TSK-213,OP1003,CAT-336-EX01,Stormwater Drainage Pipe Laying,North Perimeter Road,High,Rain,95.0,2026-09-23T10:10:00Z,2026-09-23T10:10:00Z,2026-09-23T12:37:00Z,147.8
TSK-214,OP1004,CAT-349-EX03,Stockpile Material Rehandling,Crusher Feed Point A,Low,High Wind,50.0,2026-09-23T07:02:00Z,2026-09-23T07:02:00Z,2026-09-23T07:52:00Z,50.5
TSK-215,OP1004,CAT-349-EX03,Culvert Trench Backfilling,Section 4 Access Road,Medium,Sunny,60.0,2026-09-23T10:01:00Z,2026-09-23T10:01:00Z,2026-09-23T10:56:00Z,55.3
TSK-216,OP1004,CAT-349-EX03,Stormwater Drainage Pipe Laying,North Perimeter Road,High,Rain,95.0,2026-09-23T13:01:00Z,2026-09-23T13:01:00Z,2026-09-23T14:49:00Z,108.5
TSK-217,OP1005,CAT-777-HT05,Slope Grading & Compaction,South Retention Pond,Critical,Rain,85.0,2026-09-23T07:04:00Z,2026-09-23T07:04:00Z,2026-09-23T08:56:00Z,112.1
TSK-218,OP1005,CAT-777-HT05,Slope Grading & Compaction,South Retention Pond,Critical,Rain,85.0,2026-09-23T10:03:00Z,2026-09-23T10:03:00Z,2026-09-23T11:51:00Z,108.1
